Route,Direction,Period,Pattern,Block,Trip,Service Type,Avg. Ons,Avg. Offs,Avg. Time,Avg. P/Vh,Avg. Dist,Avg. M/H,Avg. P/M,Avg. PM,Max Load,Trips Sampled,Trips Scheduled
42,Westbound,PM Peak,W02,9154,[15:31] 7068695,WEEKDAY,53,53,01:03:22,50.18,6.87,6.5,7.72,99.94,28.55,29,114
42,Westbound,PM Peak,W01,9152,[15:39] 7068694,WEEKDAY,54,54,01:12:07,44.92,7.95,6.61,6.8,124.08,30.63,49,114
42,Westbound,PM Peak,W02,9141,[15:47] 7068693,WEEKDAY,49,49,01:01:54,47.49,6.91,6.7,7.09,90.18,25.82,28,114
42,Westbound,PM Peak,W01,9140,[15:55] 7068692,WEEKDAY,62,62,01:15:29,49.28,8.16,6.49,7.59,143.42,37.18,45,114
42,Westbound,PM Peak,W02,9142,[16:03] 7068691,WEEKDAY,60,60,01:00:39,59.36,6.95,6.87,8.64,126.28,37.62,37,114
42,Westbound,PM Peak,W01,9156,[16:11] 7068690,WEEKDAY,61,61,01:08:11,53.67,8.23,7.24,7.41,139.28,34.55,29,114
42,Westbound,PM Peak,W02,9135,[16:19] 7068689,WEEKDAY,54,54,01:00:14,53.78,6.95,6.92,7.77,98.98,28.9,20,114
42,Westbound,PM Peak,W01,9158,[16:27] 7068688,WEEKDAY,71,71,01:10:16,60.61,8.16,6.97,8.7,163.16,38.66,35,114
42,Westbound,PM Peak,W02,9159,[16:35] 7068687,WEEKDAY,45,45,01:01:32,43.87,6.94,6.77,6.48,87.75,28.32,25,114
42,Westbound,PM Peak,W01,9134,[16:44] 7068686,WEEKDAY,51,51,01:15:16,40.65,8.17,6.51,6.24,107.01,30.03,32,114
42,Westbound,PM Peak,W02,9162,[16:52] 7068640,WEEKDAY,62,62,01:03:01,59.02,6.87,6.54,9.03,121.84,33.8,30,114
42,Westbound,PM Peak,W01,9160,[17:01] 7068639,WEEKDAY,62,62,01:10:30,52.76,8.24,7.01,7.53,147.9,36.03,29,114
42,Westbound,PM Peak,W02,9138,[17:09] 7068638,WEEKDAY,40,40,01:01:53,38.78,6.98,6.76,5.73,77.38,21.32,28,114
42,Westbound,PM Peak,W01,9137,[17:17] 7068637,WEEKDAY,46,46,01:06:07,41.74,8.16,7.4,5.64,115.08,27.62,29,114
42,Westbound,PM Peak,W02,9151,[17:25] 7068635,WEEKDAY,47,47,00:59:32,47.37,6.86,6.91,6.85,93.59,26.56,41,114
42,Westbound,PM Peak,W01,9146,[17:33] 7068634,WEEKDAY,43,43,01:07:28,38.23,7.97,7.08,5.4,99.64,24.14,42,114
42,Westbound,PM Peak,W02,9154,[17:42] 7068633,WEEKDAY,43,43,00:57:15,45.06,6.9,7.23,6.23,87.3,24.17,29,114
42,Westbound,PM Peak,W01,9150,[17:51] 7068636,WEEKDAY,46,46,01:02:24,44.22,8.05,7.74,5.71,115.02,27.59,64,114
42,Westbound,Evening,W02,9141,[18:00] 7068632,WEEKDAY,39,39,00:55:26,42.21,6.93,7.5,5.63,84.04,22.68,31,114
42,Westbound,Evening,W01,9152,[18:10] 7068631,WEEKDAY,38,38,00:59:38,38.23,8.07,8.12,4.71,89.35,21.5,46,114
42,Westbound,Evening,W02,9142,[18:20] 7068630,WEEKDAY,33,33,00:54:01,36.65,6.95,7.72,4.75,70.85,19.36,39,114
42,Westbound,Evening,W01,9140,[18:30] 7068626,WEEKDAY,29,29,01:02:06,28.01,8.29,8,3.5,65.28,16.49,45,114
42,Westbound,Evening,W02,9135,[18:40] 7068629,WEEKDAY,34,34,00:51:07,39.9,6.88,8.08,4.94,73.53,19.86,14,114
42,Westbound,Evening,W01,9158,[18:50] 7068628,WEEKDAY,37,37,01:00:58,36.41,8.08,7.95,4.58,96.98,24.86,37,114
42,Westbound,Evening,W02,9162,[19:01] 7068627,WEEKDAY,27,27,00:56:16,28.79,6.92,7.37,3.9,60.52,17.47,30,114
42,Westbound,Evening,W01,9134,[19:11] 7068625,WEEKDAY,24,24,01:02:22,23.09,8.1,7.79,2.96,61.11,15.42,31,114
42,Westbound,Evening,W02,9138,[19:21] 7068624,WEEKDAY,25,25,00:54:08,27.71,6.92,7.67,3.61,60.34,17.52,27,114
42,Westbound,Evening,W01,9160,[19:31] 7068623,WEEKDAY,28,28,00:58:11,28.87,8.25,8.5,3.4,75.62,18.69,29,114
42,Westbound,Evening,W02,9151,[19:41] 7068622,WEEKDAY,21,21,00:53:33,23.52,6.91,7.74,3.04,48.68,14.02,42,114
42,Westbound,Evening,W01,9146,[19:54] 7068621,WEEKDAY,23,23,00:55:03,25.06,8.03,8.75,2.86,64.34,15.66,44,114
42,Westbound,Evening,W02,9141,[20:06] 7068620,WEEKDAY,27,27,00:51:06,31.69,6.84,8.03,3.95,65.57,18.96,26,114
42,Westbound,Evening,W01,9150,[20:18] 7068619,WEEKDAY,24,24,00:56:50,25.33,8.22,8.68,2.92,64.86,15.56,66,114
42,Westbound,Evening,W02,9142,[20:32] 7068735,WEEKDAY,24,24,00:49:21,29.18,6.93,8.43,3.46,63.83,17.61,38,114
42,Westbound,Evening,W01,9140,[20:49] 7068697,WEEKDAY,32,32,01:01:03,31.45,8.2,8.06,3.9,81.9,20.64,45,114
42,Westbound,Evening,W02,9162,[21:07] 7068618,WEEKDAY,32,32,00:52:30,36.56,6.86,7.83,4.67,79.51,21.58,33,114
42,Westbound,Evening,W01,9158,[21:25] 7068709,WEEKDAY,29,29,01:02:57,27.64,8.22,7.84,3.53,75.3,18.13,38,114
42,Westbound,Evening,W02,9151,[21:44] 7068708,WEEKDAY,28,28,00:58:21,28.79,6.75,6.94,4.15,75.13,19.98,41,114
42,Westbound,Late Night,W01,9160,[22:02] 7068707,WEEKDAY,27,27,00:55:54,28.98,8.28,8.88,3.26,84.33,19.37,30,114
42,Westbound,Late Night,W02,9146,[22:22] 7068706,WEEKDAY,22,22,00:47:12,27.96,6.83,8.68,3.22,57.58,15.61,44,114
42,Westbound,Late Night,W01,9150,[22:41] 7068705,WEEKDAY,22,22,00:54:03,24.42,8.2,9.1,2.68,68.38,15.18,65,114
42,Westbound,Late Night,W02,9162,[23:02] 7068704,WEEKDAY,23,23,00:44:48,30.8,6.95,9.3,3.31,68.19,17.79,34,114
42,Westbound,Late Night,W01,9158,[23:25] 7068703,WEEKDAY,27,27,00:46:18,34.99,8.26,10.7,3.27,90.67,21.89,36,114
42,Westbound,Late Night,W01,9160,[23:56] 7068702,WEEKDAY,21,21,00:47:46,26.37,8.25,10.36,2.54,70.11,16.6,30,114
42,Westbound,Late Night,W01,9150,[24:26] 7068701,WEEKDAY,17,17,00:45:17,22.52,8.22,10.89,2.07,55.79,13.62,65,114
42,Westbound,Late Night,W02,9162,[24:57] 7068696,WEEKDAY,15,15,00:37:28,24.02,6.94,11.11,2.16,48.32,12.76,34,114
