Route,NOV19,DEC19,JAN20,FEB20,MAR20
56,0.832268971,0.8535283,0.843045113,0.853704828,0.829298318
57,0.720914346,0.716048589,0.712439621,0.758143268,0.72531409
57,0.707426088,0.717182113,0.706066418,0.75593417,0.704377167
58,0.789882393,0.793129587,0.791406625,0.811709122,0.810690923
59,0.909805544,0.913516665,0.916017227,0.927756654,0.912119338
60,0.841327219,0.854280044,0.857436919,0.847883423,0.843039698
61,0.752639683,0.787189405,0.81871569,0.798526995,0.768659143
62,0.728410513,0.704441041,0.695324284,0.671289875,0.698966408
64,0.759774436,0.770108513,0.770165683,0.787582975,0.778456288
65,0,0,0,0,0
65,0.742544488,0.761218361,0.800397907,0.790947715,0.780357925
66,0.882283204,0.896672804,0.887690262,0.892615538,0.849462366
67,0.824381072,0.826879449,0.842736461,0.852241972,0.815064535
67,0.8102735,0.830276382,0.834149404,0.853139411,0.84667429
68,0.818915696,0.786257928,0.794130578,0.808455654,0.83890868
70,0.806358483,0.817649087,0.843307466,0.856153016,0.82018439
73,0.76006409,0.841468927,0.844969528,0.86772541,0.879399459
75,0.890732704,0.90063516,0.853311508,0.879555877,0.882352941
77,0.784858854,0.774455582,0.779033062,0.787898936,0.800622649
78,0.853846154,0.780269058,0.858490566,0.813043478,
79,0.950694875,0.945185679,0.949294245,0.947821291,0.947273384
80,0.661892902,0.659058488,0.659850034,0.708884688,0.742744712
84,0.802580645,0.79313151,0.819632881,0.84826699,0.81731558
88,0.780370072,0.853846154,0.777404922,0.802469136,0.850903614
88,0.862542343,0.875038632,0.870261666,0.872275626,0.899745311
89,0.65742053,0.712764685,0.728008445,0.71512661,0.698617512
90,0.867465633,0.859590472,0.857468407,0.860162602,0.839220074
91,0.949152542,0.880952381,0.818181818,0.88372093,0.84
92,0.795287187,0.753641282,0.826315789,0.84593321,0.807329173
93,0.79422121,0.758416797,0.802955053,0.8189922,0.769327406
94,0.830257689,0.837878503,0.85982575,0.877111241,0.839767734
95,0.802773703,0.823411783,0.834398877,0.862885968,0.837934317
96,0.818518838,0.791920808,0.823140669,0.838612971,0.826004767
97,0.900136101,0.891860689,0.897792802,0.908908104,0.872326843
98,0.933229545,0.926262626,0.934422962,0.945205479,0.923160763
99,0.837629106,0.828859781,0.839219127,0.845770593,0.825904121
101,0.818904864,0.823293173,0.872260582,0.861920482,0.829791166
102,0.888749477,0.903670919,0.937803468,0.881374723,0.849833015
103,0.875812056,0.886192315,0.926682918,0.925783213,0.880464652
104,0.785651691,0.749205032,0.804137931,0.835537245,0.765438112
105,0.834529008,0.835934374,0.876642479,0.823149441,0.845163757
106,0.716775599,0.747341054,0.816770906,0.857051145,0.811177988
107,0.686154385,0.671106557,0.7644911,0.800875274,0.784408751
108,0,0,0,0,0
108,0.798351442,0.799991067,0.828456634,0.865227778,0.837220666
109,0.77570943,0.763351298,0.853769434,0.865730122,0.852311658
110,0.797281993,0.772642608,0.819524879,0.848765108,0.831932773
111,0.784781031,0.790139809,0.818181818,0.837629517,0.808140684
112,0.889923793,0.865974283,0.900311526,0.911523626,0.859656386
113,0.795019726,0.791218407,0.814330003,0.843943069,0.818746513
114,0.835145823,0.793677534,0.833084056,0.850753252,0.837594974
115,0.710793424,0.749599288,0.821745562,0.814765325,0.794187898
116,0,0,0,0,0
117,0.838202383,0.806696611,0.82647805,0.862265067,0.854114589
118,0.849511775,0.850431779,0.88117284,0.897127589,0.875681818
119,0.858684211,0.863874346,0.888344417,0.901313779,0.883402219
120,0.79735564,0.789391086,0.798754507,0.812555787,0.789411765
123,0.817017083,0.757933279,0.8423548,0.851996868,0.839313094
124,0.628850563,0.631566873,0.731239898,0.711159487,0.715158491
125,0.635337443,0.654733185,0.746003899,0.735418266,0.738219895
126,0.886491557,0.861028684,0.923461731,0.923749393,0.920788654
127,0.739028824,0.737880496,0.746949448,0.764431006,0.74813137
128,0.768454117,0.743570348,0.767581699,0.825274177,0.831803671
129,0.824252492,0.803362002,0.838666308,0.833333333,0.822533281
130,0.782403433,0.768969615,0.839600271,0.822916667,0.826684107
131,0.872767504,0.863943097,0.873514116,0.859737457,0.850772416
132,0.795691761,0.738514046,0.779050736,0.797709924,0.765466102
133,0.974409449,0.963680387,0.959810875,0.955399061,0.97715736
139,0.863447756,0.846171481,0.878639698,0.882467956,0.850454228
150,0.940983607,0.968627451,0.973282443,0.935361217,0.955414013
11B,0,0,0,0,0
15B,0.827085088,0.82960712,0.829805616,1,0
47M,0.714964965,0.716413464,0.771108179,0.768033946,0.68684645
BSO,0.918848492,0.905372504,0.846567244,0.876664512,0.883626522
BSO,0.893390033,0.86526802,0.888727202,0.887170571,0.830723341
D,0.868456687,0.865054281,0.86802472,0.880836463,0.847029374
G,0.787628866,0.780788825,0.798860412,0.796746279,0.76131624
H ,0.769221168,0.763416305,0.785196922,0.805704467,0.776064124
J,0.816354229,0.812940845,0.807458803,0.82314994,0.806378818
K,0.787627862,0.783418332,0.796711712,0.799640414,0.774294128
L,0.834848886,0.829501439,0.85904856,0.876555223,0.838770686
MFO,0.863470558,0.846586738,0.84918912,0.842877365,0.786773358
MFO,0.812806373,0.805808848,0.782594086,0.763757116,0.876677316
MFO,0.780740276,0.810788382,0.846982759,0.807538963,0.897100625
R,0.758497946,0.781563384,0.792863724,0.79271367,0.792355864
XH,0.763980344,0.74150932,0.770785429,0.797677054,0.788597815
